"tissue","treatment","ID","L2FC","padj","gene"
"brain","cold","DN47868_c0_g1_i1",4.38631590893265,1.29982528863353e-15,""
"brain","cold","DN585_c0_g1_i1",-2.79832455257057,3.10019786998845e-05,""
"brain","cold","DN8347_c0_g2_i1",2.89932672549835,4.56953520745308e-05,"Synaptojanin 2 "
"brain","cold","DN32801_c0_g8_i1",-1.99067185336395,0.000257105246473934,"Charged multivesicular body protein 7 "
"brain","cold","DN33445_c0_g1_i1",-2.10282697565845,0.000257105246473934,"F-box protein 10"
"brain","cold","DN25672_c0_g1_i2",-4.17981608599838,0.00101495575115612,"Amiloride-sensitive sodium channel subunit alpha "
"brain","cold","DN33029_c6_g9_i1",2.13313419283768,0.00101495575115612,"calumenin"
"brain","cold","DN53675_c0_g1_i1",-2.10660681784414,0.00178297590949919,"gamma-aminobutyric acid type B receptor subunit 2"
"brain","cold","DN33045_c3_g1_i1",1.55026989836437,0.002536569216575,""
"brain","cold","DN10357_c0_g1_i1",-1.76593833677562,0.0026836916479712,"Coatomer subunit alpha-like protein "
"brain","cold","DN29464_c0_g9_i1",-1.88971330152569,0.00612539858233966,"zinc ribbon domain containing 2"
"brain","cold","DN29509_c0_g1_i2",1.93669271557125,0.00658302912889429,"Heat shock protein 105 kDa "
"brain","cold","DN29961_c0_g3_i1",3.39142815879758,0.00658302912889429,""
"brain","cold","DN34073_c1_g3_i3",2.55865211236633,0.00755546360676276,"zinc finger protein 572-like"
"brain","cold","DN28064_c0_g1_i1",-1.89129031930567,0.00761058100313192,"uncharacterized ncRNA"
"brain","cold","DN18196_c0_g6_i1",-2.17720369335353,0.00804036149950935,"beta-1 3-N-acetylglucosaminyltransferase"
"brain","cold","DN23827_c0_g1_i1",-1.40771327587276,0.00873537030515411,""
"brain","cold","DN45700_c0_g1_i1",2.17055576213038,0.00873537030515411,""
"brain","cold","DN28316_c0_g1_i1",1.11224930164727,0.0107412816235248,"Synaptotagmin-1 "
"brain","cold","DN15640_c0_g2_i1",1.95564617426212,0.0145329511413297,"interferon related developmental regulator 2"
"brain","cold","DN21415_c0_g1_i1",1.80038029719109,0.0145329511413297,""
"brain","cold","DN55664_c0_g1_i1",-2.41871867720886,0.015939844070994,""
"brain","cold","DN16742_c0_g1_i1",2.03106602064914,0.0161284094432891,"cryptochrome circadian regulator 1"
"brain","cold","DN15006_c0_g4_i1",-1.44214561812084,0.0196180182231967,NA
"brain","cold","DN30183_c0_g1_i1",-1.52503385962419,0.0196180182231967,""
"brain","cold","DN36635_c0_g1_i1",-2.57668233162633,0.0196180182231967,""
"brain","cold","DN23519_c0_g2_i1",-2.57764419657344,0.0207066745003175,"Zinc finger SWIM domain-containing protein KIAA0913 "
"brain","cold","DN33356_c0_g2_i2",-1.5307177139804,0.0207066745003175,"Protein Wiz "
"brain","cold","DN30738_c0_g1_i3",-1.78211772395835,0.0343060232528588,""
"brain","cold","DN20252_c0_g1_i1",-2.25621026087675,0.0377077916456142,"3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1 "
"brain","cold","DN22918_c0_g1_i1",-1.33916715434307,0.0377077916456142,"Glyceraldehyde-3-phosphate dehydrogenase "
"brain","cold","DN32531_c7_g4_i2",-1.87227799880861,0.0436642405351601,"Zinc finger CCCH domain-containing protein 13 "
"brain","cold","DN13880_c0_g1_i1",-1.5189462954017,0.046313752907786,"semaphorin-7A-like"
"brain","cold","DN11890_c0_g2_i1",2.80615260908482,0.0470941175282191,""
"brain","cold","DN19802_c0_g1_i1",-3.51509514309197,0.0490779824354131,"calmodulin 3"
"brain","cold","DN33036_c0_g1_i7",1.02136408036809,0.0490779824354131,"CaM kinase-like vesicle-associated protein "
"brain","cold","DN33899_c0_g1_i2",1.99619382207131,0.0490779824354131,""
"brain","cold","DN10006_c0_g1_i1",1.08481424633698,NA,"zinc finger protein 84-like [Thamnophis sirtalis]"
"brain","cold","DN10007_c0_g1_i1",0.0348237239903823,NA,""
"brain","cold","DN10011_c0_g2_i1",0.0260482176687311,NA,""
"brain","cold","DN10015_c0_g1_i1",-0.80682913229392,NA,"Vav guanine nucleotide exchange factor 3 "
"brain","cold","DN1002_c0_g1_i1",-0.0192166738014575,NA,""
"brain","cold","DN10041_c0_g1_i1",-1.20507007267514,NA,""
"brain","cold","DN10043_c0_g1_i1",-0.922779911195741,NA,""
"brain","cold","DN10046_c0_g2_i1",-1.43464172751444,NA,""
"brain","cold","DN10047_c0_g1_i1",-1.03202247819931,NA,"Sphingomyelin phosphodiesterase 4 "
"brain","cold","DN1005_c0_g1_i1",-0.508140459226244,NA,"Carbonic anhydrase 14 "
"brain","cold","DN10060_c0_g2_i1",-0.243904372835394,NA,"Phosphomannomutase "
"brain","cold","DN10070_c0_g1_i1",1.2787621155873,NA,"Cytoplasmic FMR1-interacting protein "
"brain","cold","DN10090_c0_g1_i1",-0.253040067500844,NA,""
"brain","cold","DN10091_c0_g2_i1",0.401413121619232,NA,""
"brain","cold","DN10094_c0_g1_i1",2.02782437938304,NA,""
"brain","cold","DN10116_c0_g1_i2",-0.226139341781626,NA,""
"brain","cold","DN10133_c0_g1_i1",0.357957385822619,NA,""
"brain","cold","DN10140_c0_g1_i1",-0.667791926465436,NA,""
"brain","cold","DN10155_c0_g1_i1",1.87479982965226,NA,""
"brain","cold","DN10163_c0_g1_i1",-1.6595973862408,NA,""
"brain","cold","DN10170_c0_g1_i1",-1.66459573385262,NA,""
"brain","cold","DN10174_c0_g1_i1",0.458966849433827,NA,""
"brain","cold","DN10177_c0_g2_i1",-0.775408476377749,NA,""
"brain","cold","DN10185_c0_g1_i3",-0.0816351310902175,NA,"Mediator of RNA polymerase II transcription subunit 8 "
"brain","cold","DN10185_c1_g1_i1",0.099896603855344,NA,""
"brain","cold","DN10193_c0_g1_i1",-0.404606385648939,NA,"Eukaryotic translation initiation factor 4A3 "
"brain","cold","DN10212_c0_g2_i1",-0.87366444682216,NA,"Hexosyltransferase "
"brain","cold","DN10221_c0_g1_i1",-0.0898767656140725,NA,""
"brain","cold","DN10227_c0_g2_i1",-0.723496879638333,NA,""
"brain","cold","DN10236_c0_g1_i1",-0.131943226381078,NA,""
"brain","cold","DN10245_c0_g1_i1",1.71529301131293,NA,""
"brain","cold","DN10259_c0_g1_i1",-0.877700432421847,NA,"Glutamate receptor, ionotropic, N-methyl D-aspartate 1a "
"brain","cold","DN10277_c0_g1_i1",0.0947421106178704,NA,""
"brain","cold","DN10278_c0_g3_i1",0.293596660513339,NA,""
"brain","cold","DN10295_c0_g3_i1",0.674571798473449,NA,"Chromodomain-helicase-DNA-binding protein 7 "
"brain","cold","DN1030_c0_g1_i1",1.10463724327829,NA,""
"brain","cold","DN10323_c0_g2_i1",1.65586337518129,NA,""
"brain","cold","DN10324_c0_g1_i1",-1.77622478782575,NA,""
"brain","cold","DN10325_c0_g2_i1",0.597846630701971,NA,"Annexin "
"brain","cold","DN10328_c0_g2_i1",-0.252963444869001,NA,""
"brain","cold","DN10329_c0_g1_i1",0.0443796458896435,NA,""
"brain","cold","DN1032_c0_g2_i1",-3.44681905939753,NA,"negative elongation factor B-like "
"brain","cold","DN10342_c0_g3_i1",0.809777371296267,NA,"Remodeling and spacing factor 1 "
"brain","cold","DN10353_c0_g1_i1",-1.66200564510905,NA,"serine/threonine-protein kinase/endoribonuclease IRE1 "
"brain","cold","DN10363_c0_g1_i2",0.891518774976003,NA,"Vacuolar protein sorting-associated protein 37B-like "
"brain","cold","DN10372_c0_g1_i1",-0.736944642513246,NA,"Centrosomal protein of 170 kDa-like isoform 1 "
