CTmin	Tcool	Twarm	Thot	BTvol	BTcourt	CTmax
1.6	28.3	20.5	32.5	36.1	34.2	39.3
-0.03	27.7	22	34.8	33.8	34.3	39.5
1.8	25.5	22.6	35.9	34.6	34.7	40.7
1.9	24.7	22	35.7	36	36.6	38.8
0.4	26.2	19	35.4	32.2	37.2	39.8
1.8	26.3	22	34.3	35.6	36	39.3
0.2	26.3	21.2	31.3	34.9	36.3	39
0.8	26.2	22.6	33.9	36.2	36.4	40.6
1.6	27	23.2	31.3	33	37.2	39.6
2	26.7	22.8	35.4	37.2	35.2	40.2
-0.4	27	23.5	35.2	37.4	35.7	41.2
3.8	27.2	22.2	34.6	35.3	35.3	39.6
1.9	27.9	25.8	33.3	36	36	39.3
3.9	26.5	26.3	33.9	34.5	35.5	39.7
0.5	28.9	24.9	33.6	34.8	33	41.2
0.8	29.1	26.6	35.4	36.4	35.2	39.8
1.7	27.9	26.6	34	32.2	NA	40.9
0.9	27.5	26.7	36.3	35.2	NA	40.5
-0.1	26.7	26.6	33.6	37.1	NA	40.5
-0.7	29.4	26.6	31.4	34	NA	41.1
0.5	28.1	25.2	NA	NA	NA	41
-0.4	27.5	27.8	NA	NA	NA	37
1.2	25.8	28.1	NA	NA	NA	39.5
-0.2	30.2	27.2	NA	NA	NA	39.7
-1.1	27.5	26.8	NA	NA	NA	39.8
NA	28.3	28	NA	NA	NA	NA
NA	28.2	26.3	NA	NA	NA	NA
NA	28.3	27.9	NA	NA	NA	NA
NA	27.2	26.3	NA	NA	NA	NA
NA	26.8	26	NA	NA	NA	NA
NA	27.7	24.3	NA	NA	NA	NA
NA	28.3	25.3	NA	NA	NA	NA
NA	25.8	25	NA	NA	NA	NA
NA	27.1	26.9	NA	NA	NA	NA
NA	28.1	25.9	NA	NA	NA	NA
NA	27.7	24.8	NA	NA	NA	NA
NA	26.3	25.4	NA	NA	NA	NA
NA	27.3	24.4	NA	NA	NA	NA
NA	30.2	24.6	NA	NA	NA	NA
NA	26.3	27.2	NA	NA	NA	NA
NA	27.2	26	NA	NA	NA	NA
NA	28.2	26.2	NA	NA	NA	NA
NA	21.5	NA	NA	NA	NA	NA
NA	27.5	NA	NA	NA	NA	NA
NA	24.2	NA	NA	NA	NA	NA
