"term","name","level","nseqs","delta.rank","direction","pval","p.adj","tissue","condition"
"GO:0046034","ATP metabolic process",6,36,-989.386985962831,"down",3.1081511575968e-06,0.00101947357969175,"Brain","Cold"
"GO:0009144","purine nucleoside triphosphate metabolic process",7,40,-869.474087266251,"down",1.43112496479064e-05,0.00234704494225665,"Brain","Cold"
"GO:0010558","negative regulation of macromolecule biosynthetic process",7,150,445.015785790355,"up",2.10159707915379e-05,0.00374944272102265,"Brain","Cold"
"GO:0009890","negative regulation of biosynthetic process",6,155,435.938673564895,"up",2.28624556159918e-05,0.00374944272102265,"Brain","Cold"
"GO:0022607","cellular component assembly",4,334,292.341428624409,"up",4.24765649251933e-05,0.00464410443182113,"Brain","Cold"
"GO:0060271","cilium assembly",6,49,695.200180272868,"up",0.000108191271044872,0.00887168422567948,"Brain","Cold"
"GO:0044782","cilium organization",5,52,652.681146978022,"up",0.000174195420109496,0.0114272195591829,"Brain","Cold"
"GO:0023057","negative regulation of signaling",4,93,429.013349417552,"up",0.000875902607491809,0.0316415186363303,"Brain","Cold"
"GO:0030031","cell projection assembly",5,63,514.766962532011,"up",0.000964680446229583,0.0316415186363303,"Brain","Cold"
"GO:0120031","plasma membrane bounded cell projection assembly",6,61,540.031026909299,"up",0.000682982213934091,0.0316415186363303,"Brain","Cold"
"GO:0010648","negative regulation of cell communication",5,93,429.013349417552,"up",0.000875902607491809,0.0316415186363303,"Brain","Cold"
"GO:0070925","organelle assembly",5,84,460.960506594724,"up",0.000689990038154441,0.0316415186363303,"Brain","Cold"
"GO:0009968","negative regulation of signal transduction",5,91,423.969104077638,"up",0.00110731036565107,0.0330179818121411,"Brain","Cold"
"GO:1902532","negative regulation of intracellular signal transduction",6,43,607.942629787543,"up",0.00121351913477729,0.0331695230172458,"Brain","Cold"
"GO:0010605","negative regulation of macromolecule metabolic process",6,219,270.560611594765,"up",0.00141674395577464,0.035745539807237,"Brain","Cold"
"GO:0045934","negative regulation of nucleobase-containing compound metabolic process",6,104,381.012681537072,"up",0.00166577595895411,0.0390267510383535,"Brain","Cold"
"GO:0051253","negative regulation of RNA metabolic process",7,93,395.475668984829,"up",0.00195872759374702,0.0428308433832681,"Brain","Cold"
"GO:0065003","protein-containing complex assembly",5,183,281.677272710139,"up",0.00216660610676924,0.0444154251887695,"Brain","Cold"
"GO:0006325","chromatin organization",4,65,460.145773277539,"up",0.00243973795277501,0.0470725910888354,"Brain","Cold"
"GO:0080090","regulation of primary metabolic process",5,817,140.499010429451,"up",0.00272736236760656,0.0495931910987586,"Brain","Cold"
